               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,             0.05923,            0.099654,            0.013005,             0.69632,                   1,             0.85383,             0.40241,            0.057919,             0.11406,            0.011084,           0.0087526,           0.0087526,           0.0087526
                  65,            0.058711,            0.089823,            0.012726,             0.81667,             0.98601,               0.995,             0.69184,            0.048246,             0.10681,            0.011105,           0.0087328,           0.0087328,           0.0087328
                  66,            0.055993,            0.093878,            0.012667,             0.68022,             0.97611,              0.9902,             0.47555,            0.058898,             0.12384,            0.010886,            0.008713,            0.008713,            0.008713
                  67,            0.057883,            0.099203,             0.01261,             0.89625,             0.96507,               0.995,             0.76491,            0.046466,             0.10379,            0.010711,           0.0086932,           0.0086932,           0.0086932
                  68,            0.055915,            0.092715,            0.012284,             0.88155,                   1,             0.98389,             0.51682,             0.06065,             0.12151,            0.010962,           0.0086734,           0.0086734,           0.0086734
                  69,            0.056754,            0.093413,            0.012399,              0.8458,             0.96595,             0.98944,             0.55569,             0.06342,             0.11207,            0.010579,           0.0086536,           0.0086536,           0.0086536
                  70,            0.063818,            0.098307,            0.012501,             0.92502,             0.98921,               0.995,             0.62856,            0.047667,             0.10589,            0.010167,           0.0086338,           0.0086338,           0.0086338
                  71,            0.054042,            0.092777,             0.01199,             0.79835,             0.98336,              0.9702,             0.48268,            0.061354,             0.11933,            0.010342,            0.008614,            0.008614,            0.008614
                  72,            0.058688,            0.098402,            0.012163,             0.91952,             0.98782,               0.995,             0.68502,            0.047551,             0.10351,            0.010052,           0.0085942,           0.0085942,           0.0085942
                  73,            0.056779,            0.092554,            0.011992,             0.83917,             0.92491,             0.97375,             0.55735,            0.060075,             0.11835,            0.010213,           0.0085744,           0.0085744,           0.0085744
                  74,            0.057619,             0.09602,            0.011701,             0.93873,                   1,               0.995,             0.66739,             0.04829,             0.10898,            0.010126,           0.0085546,           0.0085546,           0.0085546
                  75,            0.056267,            0.099224,            0.011592,               0.937,                   1,               0.995,             0.67829,            0.046588,             0.10643,            0.010034,           0.0085348,           0.0085348,           0.0085348
                  76,            0.054961,              0.0998,            0.011373,             0.87247,             0.98466,               0.995,             0.44087,            0.059595,             0.10552,           0.0094952,            0.008515,            0.008515,            0.008515
                  77,            0.059838,            0.095455,            0.011747,             0.94491,             0.97661,               0.995,             0.57358,            0.049622,             0.10842,             0.00998,           0.0084952,           0.0084952,           0.0084952
                  78,            0.053751,            0.094643,            0.011422,             0.87672,                   1,               0.995,             0.57877,            0.051043,             0.10625,           0.0095037,           0.0084754,           0.0084754,           0.0084754
                  79,            0.060595,            0.092961,            0.011338,             0.86108,                   1,               0.995,             0.56123,            0.057551,             0.10912,           0.0094429,           0.0084556,           0.0084556,           0.0084556
                  80,            0.063056,            0.093994,            0.011258,             0.87945,                   1,               0.995,             0.57698,            0.049675,             0.10918,           0.0094544,           0.0084358,           0.0084358,           0.0084358
                  81,            0.057912,            0.092644,            0.011022,             0.91718,                   1,               0.995,             0.37554,            0.061521,             0.10897,           0.0088563,            0.008416,            0.008416,            0.008416
                  82,            0.059372,            0.092557,            0.011065,             0.84383,                   1,               0.995,             0.66398,            0.048911,             0.10819,           0.0091842,           0.0083962,           0.0083962,           0.0083962
                  83,            0.053215,            0.096349,             0.01113,             0.84003,                   1,               0.995,             0.68575,            0.054296,             0.10783,           0.0089905,           0.0083764,           0.0083764,           0.0083764
                  84,            0.059337,            0.095081,            0.010965,             0.89071,                   1,               0.995,               0.432,              0.0581,             0.11272,           0.0087537,           0.0083566,           0.0083566,           0.0083566
                  85,            0.059927,             0.09956,            0.011116,             0.94479,                   1,               0.995,             0.46603,            0.064245,             0.11193,           0.0088336,           0.0083368,           0.0083368,           0.0083368
                  86,            0.057911,            0.096122,            0.011079,             0.94508,             0.99161,               0.995,             0.59597,            0.045739,             0.10831,           0.0086789,            0.008317,            0.008317,            0.008317
                  87,            0.056328,            0.094474,            0.010887,             0.90441,             0.97228,               0.995,             0.45219,            0.058561,             0.10693,           0.0087116,           0.0082972,           0.0082972,           0.0082972
                  88,             0.05493,            0.092374,            0.010281,             0.92936,                   1,               0.995,             0.48439,            0.056535,             0.10405,           0.0086454,           0.0082774,           0.0082774,           0.0082774
                  89,            0.059902,            0.097601,             0.01065,             0.87459,                   1,               0.995,             0.54069,            0.050709,             0.10954,           0.0084067,           0.0082576,           0.0082576,           0.0082576
